Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,FICS
047050,KR7047050000,포스코인터내셔널,KOSPI,,51000,2,-400,-0.78,51600,52100,50600,146497,7507198350,89720,175922788,STK,Trading Companies & Distributors
086280,KR7086280005,현대글로비스,KOSPI,,114500,2,-3800,-3.21,118000,118000,114300,75463,8721667300,85875,75000000,STK,Road & Rail
326030,KR7326030004,SK바이오팜,KOSPI,,104300,2,-500,-0.48,104400,104900,103100,31157,3247340750,81680,78313250,STK,Pharmaceuticals
047810,KR7047810007,한국항공우주,KOSPI,,80350,2,-50,-0.06,81100,83000,79800,488421,39680955850,78321,97475107,STK,Commercial Services & Supplies
003490,KR7003490000,대한항공,KOSPI,,20400,2,-150,-0.73,20550,20650,20350,238465,4888612100,75117,368220661,STK,Airlines
042700,KR7042700005,한미반도체,KOSPI,,74800,1,1600,2.19,76100,77800,73900,1075055,80750118750,72267,96614259,STK,Semiconductors & Semiconductor Equipment
272210,KR7272210006,한화시스템,KOSPI,,38250,2,-400,-1.03,39100,39250,37050,1428956,54389622975,72261,188919389,STK,Commercial Services & Supplies
443060,KR7443060009,HD현대마린솔루션,KOSPI,,160000,2,-11500,-6.71,170700,170700,159100,84035,13609648950,71726,44829210,STK,Shipbuilding
003230,KR7003230000,삼양식품,KOSPI,,950000,2,-11000,-1.14,960000,965000,936000,16830,16013935000,71563,7533015,STK,Food Products
090430,KR7090430000,아모레퍼시픽,KOSPI,,114900,2,-500,-0.43,116300,116500,113800,102065,11741831550,67208,58492759,STK,Personal Products
079550,KR7079550000,LIG넥스원,KOSPI,,289000,1,1500,0.52,290000,294000,285000,62833,18194967500,63580,22000000,STK,Commercial Services & Supplies
005830,KR7005830005,DB손해보험,KOSPI,,84900,2,-300,-0.35,84700,85500,84700,29217,2485275150,60109,70800000,STK,Insurance
010950,KR7010950004,S-Oil,KOSPI,,52300,3,0,0.0,52500,52900,51800,54830,2873542650,58880,112582792,STK,"Oil, Gas & consumable Fuels"
021240,KR7021240007,코웨이,KOSPI,,78400,1,1800,2.35,77200,79300,77100,35646,2800659100,56889,72563745,STK,Household Durables
267250,KR7267250009,HD현대,KOSPI,,70400,2,-1200,-1.68,71500,71500,70400,42857,3034680400,55611,78993085,STK,"Oil, Gas & consumable Fuels"
006800,KR7006800007,미래에셋증권,KOSPI,,9550,1,150,1.6,9440,9640,9390,220138,2100521840,54465,570316408,STK,Capital Markets
180640,KR7180640005,한진칼,KOSPI,,80500,3,0,0.0,79700,81000,79600,6306,506833400,53743,66762279,STK,Airlines
088980,KR7088980008,맥쿼리인프라,KOSPI,,11210,1,10,0.09,11210,11240,11200,241909,2714621020,53687,478921993,STK,
010120,KR7010120004,LS ELECTRIC,KOSPI,,175700,2,-3700,-2.06,180500,183800,171600,335034,59759523250,52710,30000000,STK,Electrical Equipment
010620,KR7010620003,HD현대미포,KOSPI,,129300,2,-4900,-3.65,131400,132000,126000,381242,49026441700,51645,39942149,STK,Shipbuilding
064400,KR7064400005,LG씨엔에스,KOSPI,,52400,1,400,0.77,52000,52400,51800,133007,6935662300,50768,96885948,STK,IT Services
032640,KR7032640005,LG유플러스,KOSPI,,11420,1,110,0.97,11350,11480,11340,453736,5182014700,49861,436611361,STK,Wireless Telecommunication Services
051900,KR7051900009,LG생활건강,KOSPI,,319000,1,8500,2.74,311500,323000,309500,27704,8800158000,49822,15618197,STK,Personal Products
000150,KR7000150003,두산,KOSPI,,296500,1,8000,2.77,292000,303500,289000,80274,23959573500,48993,16523835,STK,Industrial Conglomerates
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,38650,2,-150,-0.39,38650,38950,38500,33938,1313516050,47877,123875069,STK,Auto Components
029780,KR7029780004,삼성카드,KOSPI,,40600,3,0,0.0,40550,40750,40450,11746,477514425,47038,115858891,STK,Consumer Finance
271560,KR7271560005,오리온,KOSPI,,118700,2,-2100,-1.74,121500,121500,118400,40382,4823028250,46929,39536132,STK,Food Products
298040,KR7298040007,효성중공업,KOSPI,,478000,2,-500,-0.1,480000,481500,468500,21442,10178072250,44571,9324548,STK,Electrical Equipment
005940,KR7005940002,NH투자증권,KOSPI,,13440,1,60,0.45,13450,13500,13410,178348,2401859480,44014,327492299,STK,Capital Markets
000720,KR7000720003,현대건설,KOSPI,,38750,2,-600,-1.52,39350,39550,38700,184620,7196236875,43150,111355765,STK,Construction & Engineering
241560,KR7241560002,두산밥캣,KOSPI,,44675,2,-125,-0.28,45100,45100,44575,40878,1830850225,42823,95856065,STK,Machinery
034220,KR7034220004,LG디스플레이,KOSPI,,8160,3,0,0.0,8210,8240,8140,199012,1627567490,40800,500000000,STK,Display and Display accessory
016360,KR7016360000,삼성증권,KOSPI,,45500,1,600,1.34,45050,45750,45050,91100,4146385775,40631,89300000,STK,Capital Markets
009830,KR7009830001,한화솔루션,KOSPI,,23400,1,1150,5.17,22450,24150,22350,3595790,84797730875,40222,171892536,STK,Energy Equipment & service
377300,KR7377300009,카카오페이,KOSPI,,29750,2,-200,-0.67,29750,30150,29650,61717,1845249725,40067,134680121,STK,Consumer Finance
071050,KR7071050009,한국금융지주,KOSPI,,71400,1,500,0.71,71300,72000,71000,31944,2287265550,39788,55725992,STK,Capital Markets
006260,KR7006260004,LS,KOSPI,,120700,2,-1500,-1.23,121700,123600,119600,91882,11147216500,38865,32200000,STK,Electrical Equipment
028050,KR7028050003,삼성E&A,KOSPI,,19030,2,-270,-1.4,19250,19390,18980,269251,5150989550,37298,196000000,STK,Construction & Engineering
251270,KR7251270005,넷마블,KOSPI,,43200,2,-800,-1.82,43600,43950,43050,48622,2107031550,37131,85953502,STK,Game Software
011790,KR7011790003,SKC,KOSPI,,97400,2,-900,-0.92,97800,100400,97200,76360,7521934300,36883,37868298,STK,Chemicals
022100,KR7022100002,포스코DX,KOSPI,,23850,2,-450,-1.85,24150,24300,23800,204043,4904055250,36260,152034729,STK,IT Services
450080,KR7450080007,에코프로머티,KOSPI,,51500,2,-200,-0.39,51800,52650,51000,127029,6589542850,35915,69738568,STK,Electtronic Equipment & Instruments
097950,KR7097950000,CJ제일제당,KOSPI,,238000,2,-1000,-0.42,239000,240000,237500,14936,3560399250,35828,15054186,STK,Food Products
036460,KR7036460004,한국가스공사,KOSPI,,37200,1,800,2.2,36600,37600,36400,312691,11633717700,34340,92313000,STK,Gas Utility
078930,KR7078930005,GS,KOSPI,,36850,2,-50,-0.14,36900,37000,36750,35198,1298704600,34239,92915378,STK,"Oil, Gas & consumable Fuels"
175330,KR7175330000,JB금융지주,KOSPI,,17610,1,180,1.03,17500,17760,17470,124538,2199801250,34147,193907972,STK,Commercial Banks
035250,KR7035250000,강원랜드,KOSPI,,15690,1,30,0.19,15690,15790,15620,130539,2051605440,33567,213940500,STK,Hotel & Leisure
011070,KR7011070000,LG이노텍,KOSPI,,140350,1,1350,0.97,139100,142200,138800,43212,6078868400,33216,23667107,STK,Electtronic Equipment & Instruments
001040,KR7001040005,CJ,KOSPI,,113700,2,-7300,-6.03,116900,116900,111400,294870,33617778750,33174,29176998,STK,Industrial Conglomerates
000880,KR7000880005,한화,KOSPI,,43900,2,-200,-0.45,44600,44950,43600,113608,4999584025,32906,74958735,STK,Industrial Conglomerates
307950,KR7307950006,현대오토에버,KOSPI,,119200,2,-800,-0.67,120000,120700,119000,5755,688516400,32689,27423982,STK,IT Services
138930,KR7138930003,BNK금융지주,KOSPI,,10150,3,0,0.0,10170,10240,10100,190142,1934930275,32315,318383519,STK,Commercial Banks
454910,KR7454910001,두산로보틱스,KOSPI,,49550,2,-400,-0.8,50100,50700,49500,86551,4328087850,32118,64819980,STK,Machinery
462870,KR7462870007,시프트업,KOSPI,,53100,2,-1300,-2.39,54300,54400,52800,45813,2444524950,31055,58484720,STK,Game Software
128940,KR7128940004,한미약품,KOSPI,,239250,2,-250,-0.1,240500,242000,237500,19089,4586814750,30650,12810991,STK,Pharmaceuticals
011780,KR7011780004,금호석유화학,KOSPI,,115000,2,-700,-0.61,116900,117700,114700,18079,2086830750,30428,26459587,STK,Chemicals
302440,KR7302440003,SK바이오사이언스,KOSPI,,38650,2,-450,-1.15,39200,39350,38550,35515,1383997900,30281,78347293,STK,Pharmaceuticals
004020,KR7004020004,현대제철,KOSPI,,22650,2,-300,-1.31,23000,23000,22600,194008,4406438750,30225,133445785,STK,Metal & Mining
039490,KR7039490008,키움증권,KOSPI,,120800,1,2500,2.11,119600,122700,119100,41230,4999229350,29567,24476706,STK,Capital Markets
036570,KR7036570000,엔씨소프트,KOSPI,,135200,2,-3300,-2.38,138500,138500,135200,40723,5566020450,29127,21544022,STK,Game Software
489790,KR7489790006,한화비전,KOSPI,,55900,2,-600,-1.06,55600,57600,55400,521273,29443014500,28223,50488390,STK,Commercial Services & Supplies
017800,KR7017800004,현대엘리베이터,KOSPI,,69300,2,-100,-0.14,68900,71500,68200,108234,7534584650,27091,39092385,STK,Machinery
278470,KR7278470000,에이피알,KOSPI,,70700,2,-1300,-1.81,71900,72500,70000,161339,11436614850,26400,37341555,STK,Personal Products
383220,KR7383220001,F&F,KOSPI,,68400,1,400,0.59,67600,68700,67300,25186,1719473450,26202,38307075,STK,"Textiles,Apparel"
011170,KR7011170008,롯데케미칼,KOSPI,,59900,2,-500,-0.83,60800,61000,59600,33110,1991354100,25622,42775419,STK,Chemicals
026960,KR7026960005,동서,KOSPI,,25275,2,-425,-1.65,25600,26250,25150,107992,2751347900,25199,99700000,STK,Food Products
052690,KR7052690005,한전기술,KOSPI,,64300,1,1800,2.88,64300,65300,63400,143740,9244532850,24575,38220000,STK,Energy Equipment & service
004370,KR7004370003,농심,KOSPI,,403500,2,-3000,-0.74,413500,415500,403000,11173,4562650500,24543,6082642,STK,Food Products
139480,KR7139480008,이마트,KOSPI,,87500,2,-100,-0.11,88300,88400,87200,46080,4043085350,24391,27875819,STK,Distributors
012750,KR7012750006,에스원,KOSPI,,63600,2,-300,-0.47,63000,64200,63000,6562,417284400,24167,37999178,STK,Commercial Services & Supplies
031210,KR7031210008,서울보증보험,KOSPI,,34050,2,-300,-0.87,34350,34350,33650,149274,5083802150,23774,69821598,STK,Insurance
018880,KR7018880005,한온시스템,KOSPI,,3400,2,-25,-0.73,3415,3445,3395,173484,592146619,23077,678762552,STK,Auto Components
004990,KR7004990008,롯데지주,KOSPI,,21050,2,-100,-0.47,21200,21200,20900,27385,576779450,22083,104909237,STK,Industrial Conglomerates
007660,KR7007660004,이수페타시스,KOSPI,,34450,1,1300,3.92,33100,35500,33050,1000966,34558998875,21788,63246419,STK,Electtronic Equipment & Instruments
018670,KR7018670000,SK가스,KOSPI,,235000,2,-4500,-1.88,239000,239500,232500,5258,1234413250,21726,9245244,STK,"Oil, Gas & consumable Fuels"
066970,KR7066970005,엘앤에프,KOSPI,,59600,2,-700,-1.16,60200,61100,59500,51089,3086746250,21633,36297174,STK,Electtronic Equipment & Instruments
088350,KR7088350004,한화생명,KOSPI,,2490,2,-5,-0.2,2500,2505,2480,181096,451264292,21626,868530000,STK,Insurance
001440,KR7001440007,대한전선,KOSPI,,11450,2,-100,-0.87,11570,11600,11430,218441,2515092590,21348,186447300,STK,Electrical Equipment
002380,KR7002380004,KCC,KOSPI,,236500,2,-6000,-2.47,243000,243000,235000,17857,4256800000,21016,8886471,STK,Building Products
081660,KR7081660003,미스토홀딩스,KOSPI,,34950,2,-600,-1.69,35800,35800,34700,49443,1733899100,21003,60095839,STK,"Textiles,Apparel"
030000,KR7030000004,제일기획,KOSPI,,18170,3,0,0.0,18200,18250,18130,48927,889466000,20902,115041225,STK,Media
082740,KR7082740002,한화엔진,KOSPI,,24350,2,-800,-3.18,25450,25600,24200,561460,13776394775,20319,83447142,STK,Shipbuilding
111770,KR7111770004,영원무역,KOSPI,,45350,2,-1100,-2.37,46700,46700,45200,11379,519815575,20095,44311468,STK,"Textiles,Apparel"
020560,KR7020560009,아시아나항공,KOSPI,,9520,2,-60,-0.63,9510,9610,9500,18210,173601470,19610,205990711,STK,Airlines
008930,KR7008930000,한미사이언스,KOSPI,,27950,2,-150,-0.53,28100,28250,27700,19536,548640700,19115,68391550,STK,Pharmaceuticals
012510,KR7012510004,더존비즈온,KOSPI,,62800,2,-100,-0.16,64800,65300,62300,236084,15116892400,19080,30382784,STK,Software
000120,KR7000120006,CJ대한통운,KOSPI,,83300,2,-200,-0.24,83900,84600,83000,17461,1460775250,19002,22812344,STK,Road & Rail
051600,KR7051600005,한전KPS,KOSPI,,42100,2,-150,-0.36,42450,42950,41950,72702,3077710875,18945,45000000,STK,Eletric Utilities
001450,KR7001450006,현대해상,KOSPI,,20950,2,-100,-0.48,21050,21150,20800,65708,1378633100,18729,89400000,STK,Insurance
023530,KR7023530009,롯데쇼핑,KOSPI,,65800,1,1000,1.54,65000,66100,64100,26459,1733464850,18614,28288755,STK,Distributors
192820,KR7192820009,코스맥스,KOSPI,,162700,2,-4200,-2.52,167000,167500,162000,37505,6157764850,18465,11349509,STK,Personal Products
000990,KR7000990002,DB하이텍,KOSPI,,40900,3,0,0.0,40750,41750,40550,73841,3032493525,18159,44398588,STK,Semiconductors & Semiconductor Equipment
282330,KR7282330000,BGF리테일,KOSPI,,104000,2,-1000,-0.95,105300,106000,103800,11458,1195761050,17975,17283906,STK,Distributors
028670,KR7028670008,팬오션,KOSPI,,3305,2,-40,-1.2,3350,3350,3300,327463,1085426731,17667,534569512,STK,Marine
161890,KR7161890009,한국콜마,KOSPI,,73300,2,-200,-0.27,73700,74400,72500,89444,6570194100,17302,23605077,STK,Personal Products
006040,KR7006040000,동원산업,KOSPI,,43000,1,900,2.14,41800,43400,41550,60253,2587973675,17038,39624084,STK,Food Products
002790,KR7002790004,아모레G,KOSPI,,21400,3,0,0.0,21650,21650,21200,34300,733621150,17004,79458180,STK,Personal Products
204320,KR7204320006,HL만도,KOSPI,,35100,2,-850,-2.36,36000,36050,35000,89453,3157011175,16481,46957120,STK,Auto Components
007310,KR7007310006,오뚜기,KOSPI,,402500,2,-2000,-0.49,404500,406000,401000,507,204401250,16131,4007830,STK,Food Products
139130,KR7139130009,iM금융지주,KOSPI,,9460,3,0,0.0,9460,9490,9400,114389,1082670760,15740,166392833,STK,Commercial Banks
375500,KR7375500006,DL이앤씨,KOSPI,,40500,2,-500,-1.22,41000,41700,40400,48141,1974101450,15670,38693623,STK,Construction & Engineering
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,21850,2,-400,-1.8,22200,22600,21800,73709,1626601900,15578,71297592,STK,Electtronic Equipment & Instruments
062040,KR7062040001,산일전기,KOSPI,,51000,2,-500,-0.97,51500,51600,50500,101079,5145687350,15527,30445200,STK,Electrical Equipment
003690,KR7003690005,코리안리,KOSPI,,7910,3,0,0.0,7910,7930,7860,33097,261800715,15410,194821031,STK,Insurance
042670,KR7042670000,HD현대인프라코어,KOSPI,,7990,2,-10,-0.13,8080,8130,7970,338859,2722294940,15393,192655867,STK,Machinery
103140,KR7103140000,풍산,KOSPI,,54100,2,-300,-0.55,54900,54900,54000,53565,2913078100,15161,28024278,STK,Metal & Mining
069620,KR7069620003,대웅제약,KOSPI,,130200,2,-1300,-0.99,130700,131400,129500,3924,512456900,15085,11586575,STK,Pharmaceuticals
008770,KR7008770000,호텔신라,KOSPI,,38200,2,-400,-1.04,38650,38700,38000,44308,1698924750,14992,39248121,STK,Distributors
112610,KR7112610001,씨에스윈드,KOSPI,,35350,2,-150,-0.42,35400,36150,34950,39796,1418782725,14907,42171403,STK,Energy Equipment & service
004170,KR7004170007,신세계,KOSPI,,153200,2,-700,-0.45,153600,154000,152000,7430,1138730100,14776,9645181,STK,Multiline Retail
294870,KR7294870001,HDC현대산업개발,KOSPI,,22300,2,-150,-0.67,22550,22700,22050,42562,951543500,14697,65907330,STK,Construction & Engineering
005850,KR7005850003,에스엘,KOSPI,,31400,2,-300,-0.95,31900,31900,31300,71307,2250867875,14584,46448520,STK,Auto Components
009420,KR7009420001,한올바이오파마,KOSPI,,27350,1,100,0.37,27300,27600,26950,81151,2217909750,14287,52240638,STK,Pharmaceuticals
006360,KR7006360002,GS건설,KOSPI,,16570,2,-80,-0.48,16620,16770,16530,87693,1458774390,14180,85581490,STK,Construction & Engineering
006280,KR7006280002,녹십자,KOSPI,,118200,2,-1400,-1.17,119800,120000,118000,5693,677616950,13813,11686538,STK,Pharmaceuticals
047040,KR7047040001,대우건설,KOSPI,,3285,2,-10,-0.3,3315,3340,3275,312998,1033770683,13653,415622638,STK,Construction & Engineering
007340,KR7007340003,DN오토모티브,KOSPI,,23200,2,-100,-0.43,23700,24300,22750,86986,2039426250,13574,58510865,STK,Auto Components
395400,KR7395400005,SK리츠,KOSPI,,4900,1,15,0.31,4900,4910,4850,90408,442515235,13533,276188774,STK,Real Estate
000080,KR7000080002,하이트진로,KOSPI,,19255,2,-75,-0.39,19330,19390,19240,34227,660600200,13504,70133611,STK,Beverages
000240,KR7000240002,한국앤컴퍼니,KOSPI,,14160,2,-80,-0.56,14220,14240,14080,65084,920220205,13442,94935240,STK,Auto Components
014680,KR7014680003,한솔케미칼,KOSPI,,115800,1,4800,4.32,111000,117600,110200,39705,4588139600,13126,11335195,STK,Chemicals
457190,KR7457190007,이수스페셜티케미컬,KOSPI,,43250,1,1550,3.72,41600,44400,41250,260240,11199982175,13065,30208280,STK,Chemicals
069960,KR7069960003,현대백화점,KOSPI,,57200,2,-500,-0.87,57700,57800,56700,8207,468599400,12943,22628813,STK,Multiline Retail
073240,KR7073240004,금호타이어,KOSPI,,4460,1,40,0.9,4460,4535,4450,152129,683708838,12811,287260287,STK,Auto Components
001720,KR7001720002,신영증권,KOSPI,,77000,3,0,0.0,77000,77000,76300,1804,138767350,12658,16440000,STK,Capital Markets
009970,KR7009970005,영원무역홀딩스,KOSPI,,91800,1,600,0.66,92000,92500,90600,2667,244319200,12517,13635592,STK,"Textiles,Apparel"
005070,KR7005070008,코스모신소재,KOSPI,,38150,2,-750,-1.93,38600,39250,38050,65118,2510844800,12402,32510756,STK,Chemicals
010060,KR7010060002,OCI홀딩스,KOSPI,,65100,2,-1000,-1.51,66100,68700,63700,102459,6855363050,12248,18814917,STK,Chemicals
192080,KR7192080000,더블유게임즈,KOSPI,,54600,1,300,0.55,54500,54900,54000,24024,1312447450,11736,21495906,STK,Game Software
103590,KR7103590006,일진전기,KOSPI,,24550,2,-250,-1.01,24950,25050,24100,165226,4054715775,11706,47685390,STK,Electrical Equipment
007070,KR7007070006,GS리테일,KOSPI,,13860,2,-230,-1.63,14100,14110,13850,94525,1318725535,11587,83607415,STK,Distributors
020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,22100,2,-50,-0.23,22150,22550,21850,33948,753338900,11572,52365463,STK,Electtronic Equipment & Instruments
300720,KR7300720000,한일시멘트,KOSPI,,16680,1,610,3.8,16260,16870,16100,55076,912079390,11552,69261540,STK,Construction Materials
011210,KR7011210002,현대위아,KOSPI,,42150,2,-700,-1.63,42800,43100,41900,34077,1445720950,11462,27195083,STK,Auto Components
003090,KR7003090008,대웅,KOSPI,,19680,2,-120,-0.61,19620,19880,19580,6765,133470745,11442,58141980,STK,Pharmaceuticals
267270,KR7267270007,HD현대건설기계,KOSPI,,64400,3,0,0.0,65200,65700,63800,34219,2207826450,11407,17713586,STK,Machinery
034230,KR7034230003,파라다이스,KOSPI,,12190,1,50,0.41,12230,12390,12100,228059,2792840120,11186,91771623,STK,Hotel & Leisure
003570,KR7003570009,SNT다이내믹스,KOSPI,,33550,2,-150,-0.45,33950,34250,32800,73523,2458082150,11156,33252697,STK,Auto Components
071970,KR7071970008,HD현대마린엔진,KOSPI,,32850,2,-1100,-3.24,33500,33950,32200,575472,18900018150,11143,33921495,STK,Shipbuilding
137310,KR7137310009,에스디바이오센서,KOSPI,,8970,3,0,0.0,8990,9080,8950,40056,361276790,10920,121749102,STK,Health Care Equipment & Supplies
280360,KR7280360009,롯데웰푸드,KOSPI,,115300,2,-4300,-3.6,120000,120000,115000,11919,1392916600,10878,9434574,STK,Food Products
185750,KR7185750007,종근당,KOSPI,,78600,2,-100,-0.13,79000,79300,77300,8429,661760300,10848,13802780,STK,Pharmaceuticals
012630,KR7012630000,HDC,KOSPI,,18050,2,-140,-0.77,18290,18310,17800,48640,877560260,10783,59741721,STK,Construction & Engineering
001800,KR7001800002,오리온홀딩스,KOSPI,,16710,1,120,0.72,16590,16830,16540,44633,747326560,10468,62645422,STK,Food Products
089860,KR7089860001,롯데렌탈,KOSPI,,28600,2,-350,-1.21,29000,29000,28550,12441,357268825,10384,36309388,STK,Hotel & Leisure
